city,total_building,before_1980,between_1980_2000,after_2000,unknown
ADANA,632875,82344,220496,244668,85367
ADIYAMAN,155300,13547,36586,81271,23896
AFYONKARAHİSAR,218348,30474,64252,85170,38453
AĞRI,109974,10532,21669,58638,19135
AMASYA,109469,14754,38283,48270,8162
ANKARA,1874093,192900,510480,1023530,147184
ANTALYA,858107,63422,231300,457043,106342
ARTVİN,58847,13722,14492,22596,8037
AYDIN,391460,66884,132190,155356,37029
BALIKESİR,456193,86368,168535,178977,22313
BİLECİK,72972,12384,18759,34566,7262
BİNGÖL,76458,5731,13152,53396,4180
BİTLİS,79417,6496,17079,45435,10407
BOLU,104358,15615,33355,48044,7345
BURDUR,96220,22097,28433,36381,9309
BURSA,966765,113980,317559,436507,98719
ÇANAKKALE,204793,40080,65443,95363,3907
ÇANKIRI,68624,13304,20000,33337,1983
ÇORUM,179367,24998,49420,74309,30640
DENİZLİ,353281,49879,121925,159055,22422
DİYARBAKIR,394867,25818,104960,229532,34558
EDİRNE,144147,29892,51154,55647,7454
ELAZIĞ,173836,17396,41103,91777,23560
ERZİNCAN,75398,11255,21505,33061,9577
ERZURUM,197862,31945,58354,103385,4178
ESKİŞEHİR,326876,34977,68113,175788,47998
GAZİANTEP,522947,34351,135511,269876,83209
GİRESUN,164548,32471,43044,68209,20824
GÜMÜŞHANE,49045,10596,10857,22615,4978
HAKKARİ,52571,1403,10309,31248,9612
HATAY,449151,60710,146509,224464,17468
ISPARTA,151622,30347,48944,61607,10724
MERSİN,575635,65162,194159,248119,68195
İSTANBUL,4755086,493276,1750833,2173468,337508
İZMİR,1503086,214138,555205,609038,124705
KARS,72246,14770,12405,37047,8024
KASTAMONU,130351,34097,35545,57321,3388
KAYSERİ,424008,50806,100589,237440,35174
KIRKLARELİ,128459,16375,37953,51345,22786
KIRŞEHİR,76682,14885,24065,36899,833
KOCAELİ,602601,59533,204950,292196,45922
KONYA,664773,115050,202520,347203,0
KÜTAHYA,192678,41956,62677,79367,8678
MALATYA,230499,32239,64869,111603,21787
MANİSA,475046,81849,147796,197130,48272
KAHRAMANMARAŞ,311458,36479,83717,181016,10247
MARDİN,180355,18986,24045,109981,27343
MUĞLA,362287,56082,106834,146849,52522
MUŞ,86457,6955,20657,52848,5997
NEVŞEHİR,95941,20584,32894,39683,2780
NİĞDE,112323,18607,32529,60069,1117
ORDU,265344,37435,75914,105495,46500
RİZE,111428,25834,31779,40777,13038
SAKARYA,312767,34484,109427,146135,22721
SAMSUN,424068,53066,135781,191669,43552
SİİRT,67578,5007,13789,42522,6260
SİNOP,78098,16612,20673,28118,12695
SİVAS,193486,26719,52465,90089,24213
TEKİRDAĞ,349057,22356,100940,193984,31778
TOKAT,191711,35061,62069,83674,10908
TRABZON,263340,52323,70150,112883,27984
TUNCELİ,29606,5086,6969,14746,2805
ŞANLIURFA,411421,22769,76306,251163,61183
UŞAK,124856,25169,37276,52629,9782
VAN,241504,10375,40555,164483,26092
YOZGAT,134087,23322,46269,57016,7480
ZONGULDAK,199841,44205,72185,56274,27178
AKSARAY,123019,16734,39811,64989,1485
BAYBURT,24347,5480,6524,11975,368
KARAMAN,81356,16961,28289,36106,0
KIRIKKALE,91553,13620,28745,37443,11745
BATMAN,124388,9278,22716,65971,26423
ŞIRNAK,95412,2476,13493,62779,16664
BARTIN,67709,13453,26508,22786,4962
ARDAHAN,28669,5809,4403,12451,6006
IĞDIR,49386,3322,9573,27760,8730
YALOVA,95085,8316,34236,41258,11275
KARABÜK,85036,17551,22150,31341,13994
KİLİS,40020,4464,8680,20917,5959
OSMANİYE,156199,16465,40070,72686,26979
DÜZCE,119700,13552,38834,59496,7818
